File Name,UVLED ID,Average Current (A),Current Standard Deviation (A),UVLED Current Amplitude (mA),UVLED Displacement (m),UVLED Pulse Frequency (Hz),Background Corrected Current (A),Corrected Current Standard Deviation (A),Flux (photons/mm^2),Flux Error
2017-05-18_frequency-79.csv,ID 8 WL=355nm,-3.43330449333e-07,1.76863949123e-10,40.0,close,46000,-1,-1,1021724.678686164,3665.1118954704657
2017-05-18_frequency-80.csv,ID 8 WL=355nm,-9.31720857333e-08,3.43499739029e-11,40.0,close,12250,-1,-1,440857.73241153476,1573.461905558397
2017-05-18_frequency-81.csv,ID 8 WL=355nm,-1.23303491333e-07,4.12143792653e-11,40.0,close,16250,-1,-1,545299.8414118207,1944.37622472764
2017-05-18_frequency-82.csv,ID 8 WL=355nm,-3.48790240667e-07,1.77860237301e-10,40.0,close,46750,-1,-1,1029483.6888367007,3692.1788253678537
2017-05-18_frequency-83.csv,ID 8 WL=355nm,-1.77594448667e-07,7.32875912522e-11,40.0,close,23500,-1,-1,702217.280837764,2509.6576683189273
2017-05-18_frequency-84.csv,ID 8 WL=355nm,-6.28944884667e-08,1.69282776339e-11,40.0,close,8250,-1,-1,319967.9446863136,1139.146264527348
2017-05-18_frequency-85.csv,ID 8 WL=355nm,-2.42473606e-07,1.05464693764e-10,40.0,close,32250,-1,-1,850093.56629995,3040.3991100094318
2017-05-18_frequency-86.csv,ID 8 WL=355nm,-2.24031763333e-07,9.73109917852e-11,40.0,close,29750,-1,-1,811722.3648722767,2903.1044426314975
2017-05-18_frequency-87.csv,ID 8 WL=355nm,-2.73739958667e-07,1.20181797394e-10,40.0,close,36500,-1,-1,909637.3651806844,3253.8140433493886
2017-05-18_frequency-88.csv,ID 8 WL=355nm,-1.57025234667e-07,5.93004170718e-11,40.0,close,20750,-1,-1,646871.7586083473,2309.351995563488
2017-05-18_frequency-89.csv,ID 8 WL=355nm,-3.70344539333e-07,1.8888006632e-10,40.0,close,49750,-1,-1,1058476.63986006,3796.1718305801965
2017-05-18_frequency-90.csv,ID 8 WL=355nm,-2.3861309e-07,1.09240779168e-10,40.0,close,31750,-1,-1,842011.9524352411,3013.8964890390357
2017-05-18_frequency-91.csv,ID 8 WL=355nm,-8.56600884e-08,2.85147834893e-11,40.0,close,11250,-1,-1,412524.86299521563,1470.8875274664156
2017-05-18_frequency-92.csv,ID 8 WL=355nm,-3.57841216667e-07,1.92695419567e-10,40.0,close,48000,-1,-1,1041995.3987049252,3741.398493613746
2017-05-18_frequency-93.csv,ID 8 WL=355nm,-4.39496322e-08,1.44646649861e-11,40.0,close,5750,-1,-1,234612.18962616334,836.4449181923367
2017-05-18_frequency-94.csv,ID 8 WL=355nm,-7.71983651333e-09,1.28088090296e-11,40.0,close,1000,-1,-1,45469.58334932186,178.1773580636243
2017-05-18_frequency-95.csv,ID 8 WL=355nm,-9.70221678667e-08,2.69860509544e-11,40.0,close,12750,-1,-1,455097.2370530542,1620.5464727869976
2017-05-18_frequency-96.csv,ID 8 WL=355nm,-3.64968139333e-07,1.99977911746e-10,40.0,close,49000,-1,-1,1051437.0532739367,3776.800832987372
2017-05-18_frequency-97.csv,ID 8 WL=355nm,-1.32671433333e-07,5.49574328205e-11,40.0,close,17500,-1,-1,574985.8857628636,2055.049137909567
2017-05-18_frequency-98.csv,ID 8 WL=355nm,-7.99925514e-08,1.97602106274e-11,40.0,close,10500,-1,-1,390440.93688282545,1389.4169575144858
2017-05-18_frequency-99.csv,ID 8 WL=355nm,-2.940093e-07,1.40767097955e-10,40.0,close,39250,-1,-1,945085.5502765952,3385.4297589558355
